,Price,Bed,Bath,Toilet,Built or Serviced,Property Type,Area,Purchase Type,Parking Space,Security,Electricity,Furnished,Security Doors,CCTV,BQ,Gym,Pool
26090,1000000.0,2.0,3.0,3.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26091,800000.0,2.0,3.0,3.0,Furnished,Self contain,Ajah,rent,0,0,0,1,0,0,0,0,0
26095,900000.0,3.0,4.0,4.0,Newly Built,Blocks of flats,Ajah,rent,0,0,0,0,0,0,0,0,0
26096,1300000.0,2.0,3.0,3.0,Serviced,Blocks of flats,Ajah,rent,0,1,0,0,0,0,0,0,0
26097,1100000.0,3.0,3.0,3.0,Newly Built,Blocks of flats,Ajah,rent,0,0,0,0,0,0,0,0,0
26102,700000.0,2.0,3.0,3.0,Newly Built,Blocks of flats,Ajah,rent,0,0,0,0,0,0,0,0,0
26104,1000000.0,3.0,4.0,4.0,Newly Built,Blocks of flats,Ajah,rent,0,0,0,0,0,0,0,0,0
26105,700000.0,1.0,2.0,2.0,Serviced,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26109,1800000.0,3.0,3.0,4.0,Furnished,Semi detached duplex,Ajah,rent,0,0,0,1,0,0,0,0,0
26111,1400000.0,3.0,3.0,4.0,Furnished,Flat / apartment,Ajah,rent,0,0,0,1,0,0,0,0,0
26112,300000.0,1.0,1.0,1.0,Serviced,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26113,500000.0,1.0,1.0,1.0,Newly Built,Detached bungalow,Ajah,rent,0,0,0,0,0,0,0,0,0
26116,1800000.0,0.0,0.0,0.0,Newly Built,Blocks of flats,Ajah,rent,0,1,0,0,0,0,0,0,0
26122,1750000.0,0.0,0.0,0.0,Serviced,Blocks of flats,Ajah,rent,0,0,0,1,0,0,0,0,0
26123,550000.0,0.0,0.0,0.0,Serviced,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26127,1100000.0,3.0,3.0,4.0,Newly Built,Terraced duplex,Ajah,rent,0,1,0,0,0,0,0,0,0
26129,1700000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,1,0,0,0,0,0,0,0
26134,800000.0,2.0,2.0,3.0,Serviced,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26135,1100000.0,3.0,3.0,4.0,Serviced,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26137,800000.0,2.0,2.0,2.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26139,1350000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26140,1700000.0,4.0,4.0,5.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26141,900000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26142,950000.0,2.0,2.0,3.0,Serviced,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26143,650000.0,1.0,1.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26144,1500000.0,3.0,3.0,4.0,Newly Built,Terraced duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
26145,1400000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26146,600000.0,1.0,1.0,1.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26147,1200000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26149,700000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26152,2100000.0,4.0,5.0,5.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,1,0,0,0,0,0
26153,1500000.0,3.0,3.0,4.0,Furnished,Flat / apartment,Ajah,rent,0,0,0,1,0,0,0,0,0
26155,1500000.0,4.0,4.0,5.0,Serviced,Detached duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
26156,1600000.0,3.0,4.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26157,1350000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26158,750000.0,2.0,2.0,3.0,Serviced,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26161,750000.0,1.0,2.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
