,Price,Bed,Bath,Toilet,Built or Serviced,Property Type,Area,Purchase Type,Parking Space,Security,Electricity,Furnished,Security Doors,CCTV,BQ,Gym,Pool
12109,115000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12110,95000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12113,120000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,1
12114,85000000.0,3.0,3.0,3.0,Newly Built,Flat / apartment,Lekki phase 1,sale,0,0,0,0,0,1,0,0,1
12115,65000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12117,65000000.0,3.0,3.0,4.0,Newly Built,Terraced duplex,Lekki phase 1,sale,0,1,0,0,0,0,0,1,1
12120,70000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,1,0,0,0,0,0,0,0,0
12121,42000000.0,3.0,3.0,4.0,Serviced,Terraced duplex,Lekki,sale,1,1,1,0,0,0,0,1,1
12123,50000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Lekki,sale,0,1,0,0,1,0,0,0,0
12124,53000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12127,65000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,1,0,0,1,1,0,0,0
12128,60000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,0,0,0,1,0,0,0
12129,45000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12131,39000000.0,4.0,4.0,5.0,Serviced,Terraced duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12132,110000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,1,0,0,1,1,0,0,1
12133,80000000.0,4.0,4.0,5.0,Serviced,Semi detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12134,140000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12136,50000000.0,4.0,4.0,5.0,Serviced,Semi detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12137,43000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,1,0,0,0,1,0,0,0
12138,48000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12139,110000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12140,60000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12142,38800000.0,3.0,3.0,4.0,Newly Built,Mini flat,Lekki,sale,0,1,0,0,0,0,0,0,0
12143,80000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,1,0,0,0
12144,45000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12145,98000000.0,6.0,6.0,7.0,Newly Built,Detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12146,53000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12147,40000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12148,80000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12150,42000000.0,4.0,4.0,5.0,Furnished,Semi detached duplex,Lekki,sale,0,1,0,1,0,1,0,0,0
12151,85000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12152,75000000.0,5.0,5.0,6.0,Serviced,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12153,36000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12154,75000000.0,4.0,4.0,5.0,Serviced,Terraced duplex,Lekki,sale,0,0,0,0,0,1,0,0,0
12155,170000000.0,5.0,6.0,7.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12156,35000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Lekki,sale,0,0,0,0,0,0,0,0,1
12157,58000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12158,46000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12159,40000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12160,80000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,1,0,0,0
12161,75000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,1,0,0,0
12162,40000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12163,48000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,1,0,0,1,1,0,0,0
12164,42000000.0,4.0,4.0,5.0,Serviced,Terraced duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12165,43000000.0,4.0,4.0,5.0,Serviced,Terraced duplex,Lekki,sale,1,1,1,0,0,1,0,1,1
12166,50000000.0,4.0,4.0,5.0,Serviced,Semi detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12167,56000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,1,0,0,0,1,0,0,0
12168,85000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,1,1,1,0,0,1,0,0,0
12169,100000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,1
12170,35000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Lekki,sale,0,1,0,0,1,1,0,0,0
12171,60000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,1,0,0,0,1,0,0,0
12172,30000000.0,1.0,1.0,2.0,Serviced,Mini flat,Lekki,sale,0,1,0,0,0,0,0,0,0
12173,30000000.0,2.0,2.0,3.0,Serviced,Mini flat,Lekki,sale,1,1,0,0,0,1,0,0,0
12174,52000000.0,4.0,4.0,5.0,Serviced,Semi detached duplex,Lekki,sale,0,0,0,0,0,1,0,0,0
12175,60000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12177,60000000.0,3.0,4.0,4.0,Serviced,Flat / apartment,Lekki,sale,0,0,0,0,0,1,0,0,1
12178,75000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12179,47000000.0,4.0,4.0,5.0,Serviced,Semi detached duplex,Lekki,sale,1,1,1,0,0,1,0,1,1
12180,38000000.0,2.0,2.0,3.0,Furnished,Mini flat,Lekki,sale,0,0,1,1,0,0,0,0,0
12181,38000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12184,60000000.0,4.0,5.0,6.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12185,80000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12186,85000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,1,0,0,1,1,0,0,0
12187,60000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,1,0,0,0
12188,110000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Lekki phase 1,sale,0,0,0,0,0,1,0,0,0
12190,35000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12191,75000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12193,99000000.0,5.0,6.0,6.0,Serviced,Semi detached duplex,Lekki,sale,0,0,0,1,0,0,0,0,0
12194,90000000.0,5.0,5.0,7.0,Newly Built,Detached duplex,Lekki,sale,1,0,0,0,0,1,0,0,0
12195,100000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,1
12199,90000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12200,65000000.0,4.0,4.0,5.0,Furnished,Semi detached duplex,Lekki,sale,0,0,0,1,0,0,0,0,0
12201,32000000.0,2.0,3.0,3.0,Furnished,Blocks of flats,Lekki phase 1,sale,1,1,1,1,0,1,0,0,0
12203,55000000.0,4.0,4.0,5.0,Furnished,Semi detached duplex,Lekki,sale,0,0,0,1,0,0,0,0,0
12204,60000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,1,0,0,0,0,0,0,0,0
12205,60000000.0,4.0,4.0,5.0,Furnished,Terraced duplex,Lekki,sale,0,0,0,1,0,0,0,0,0
12206,47000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,1,0,0,0,0,0,0,0,0
12207,35000000.0,2.0,2.0,3.0,Furnished,Terraced duplex,Lekki phase 1,sale,0,1,0,1,0,0,0,1,1
12208,32000000.0,2.0,3.0,3.0,Furnished,Blocks of flats,Lekki,sale,1,1,1,1,0,1,0,0,0
12209,125000000.0,5.0,5.0,6.0,Serviced,Terraced duplex,Lekki phase 1,sale,0,1,0,0,0,0,0,0,0
12210,70000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,1,0,0,0
12211,55000000.0,4.0,4.0,5.0,Furnished,Semi detached duplex,Lekki,sale,1,1,0,1,0,0,0,0,0
12212,66000000.0,4.0,4.0,5.0,Serviced,Terraced duplex,Lekki,sale,0,0,0,0,0,0,0,1,0
12213,60000000.0,4.0,5.0,4.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12214,80000000.0,5.0,5.0,6.0,Furnished,Detached duplex,Lekki,sale,0,0,0,1,0,0,0,0,0
12215,47000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12216,37000000.0,4.0,6.0,6.0,Furnished,Terraced duplex,Lekki,sale,0,1,0,1,0,1,0,0,0
12217,83000000.0,4.0,4.0,5.0,Serviced,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12218,170000000.0,5.0,5.0,6.0,Newly Built,Semi detached duplex,Lekki phase 1,sale,0,0,0,0,0,0,0,0,0
12219,38000000.0,4.0,5.0,5.0,Furnished,Terraced duplex,Lekki,sale,0,1,0,1,0,1,0,0,0
12220,30000000.0,4.0,5.0,5.0,Furnished,Terraced duplex,Lekki,sale,0,1,0,1,0,1,0,0,0
12222,14500000.0,1.0,2.0,2.0,Furnished,Mini flat,Ajah,sale,0,0,0,1,0,0,0,0,0
12223,51000000.0,4.0,6.0,6.0,Furnished,Semi detached duplex,Ajah,sale,0,0,0,1,0,0,0,0,0
12224,50000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12225,130000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12226,61500000.0,5.0,7.0,7.0,Furnished,Semi detached duplex,Ajah,sale,0,0,0,1,0,0,0,0,0
12227,85000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,1,0,0,0
12228,53500000.0,4.0,5.0,5.0,Serviced,Semi detached duplex,Lekki,sale,1,1,1,0,0,1,0,0,0
12229,72000000.0,5.0,6.0,6.0,Furnished,Detached duplex,Lekki phase 1,sale,0,0,0,1,0,0,0,0,0
12230,130000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,1,0,0,0
12231,35000000.0,2.0,2.0,3.0,Serviced,Flat / apartment,Lekki,sale,0,0,0,0,0,0,0,0,0
12233,51000000.0,4.0,4.0,5.0,Furnished,Semi detached duplex,Lekki,sale,0,0,0,1,0,0,0,0,0
12234,80000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,1,0,0,0
12235,20000000.0,4.0,6.0,6.0,Furnished,Terraced duplex,Lekki,sale,0,1,0,1,0,1,0,0,0
12237,75000000.0,4.0,4.0,5.0,Serviced,Semi detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12238,25000000.0,1.0,1.0,2.0,Furnished,Mini flat,Lekki phase 1,sale,0,1,0,1,0,0,0,1,1
12239,60000000.0,4.0,4.0,5.0,Serviced,Terraced duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12240,85000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12241,85000000.0,5.0,5.0,6.0,Furnished,Detached duplex,Lekki,sale,0,0,0,1,0,0,0,0,0
12243,32000000.0,2.0,3.0,3.0,Furnished,Blocks of flats,Lekki phase 1,sale,1,1,1,1,0,1,0,0,0
12245,165000000.0,5.0,5.0,6.0,Newly Built,Semi detached duplex,Lekki phase 1,sale,0,0,0,0,0,0,0,0,0
12247,53500000.0,4.0,5.0,5.0,Serviced,Semi detached duplex,Lekki,sale,1,1,1,0,0,1,0,0,0
12248,25000000.0,1.0,1.0,2.0,Furnished,Mini flat,Lekki phase 1,sale,0,1,0,1,0,0,0,1,1
12251,29000000.0,2.0,3.0,3.0,Furnished,Terraced duplex,Ajah,sale,0,0,0,1,0,0,0,0,0
12252,75000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12253,125000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12254,130000000.0,6.0,6.0,7.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12255,53500000.0,4.0,5.0,5.0,Furnished,Semi detached duplex,Lekki phase 1,sale,1,1,1,1,0,1,0,0,0
12257,40000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,0,0,0,1,0,0,0
12258,20000000.0,4.0,6.0,6.0,Furnished,Terraced duplex,Lekki,sale,0,1,0,1,0,1,0,0,0
12259,120000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12260,37500000.0,4.0,5.0,5.0,Furnished,Blocks of flats,Lekki phase 1,sale,0,0,0,1,0,1,0,0,1
12261,38000000.0,3.0,5.0,5.0,Furnished,Semi detached duplex,Ajah,sale,0,0,0,1,0,0,0,0,0
12262,130000000.0,4.0,4.0,5.0,Serviced,Penthouse flat,Lekki phase 1,sale,0,1,0,0,0,1,0,0,1
12264,130000000.0,5.0,5.0,5.0,Newly Built,Detached duplex,Lekki,sale,0,1,0,0,0,1,0,0,1
12265,130000000.0,4.0,4.0,4.0,Newly Built,Terraced duplex,Lekki phase 1,sale,0,1,0,0,0,0,0,0,0
12266,36000000.0,2.0,2.0,3.0,Furnished,Blocks of flats,Lekki,sale,0,1,0,1,0,0,0,0,0
12267,32000000.0,2.0,2.0,3.0,Serviced,Flat / apartment,Lekki,sale,0,0,0,0,0,0,0,0,0
12268,20500000.0,2.0,3.0,3.0,Furnished,Blocks of flats,Ajah,sale,0,0,0,1,0,0,0,0,0
12271,25000000.0,1.0,1.0,2.0,Furnished,Mini flat,Lekki phase 1,sale,0,1,0,1,0,0,0,1,1
12272,120000000.0,5.0,5.0,5.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,1,0,0,0
12273,68000000.0,4.0,4.0,4.0,Newly Built,Terraced duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12274,90000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12275,25000000.0,1.0,1.0,2.0,Furnished,Mini flat,Lekki phase 1,sale,0,1,0,1,0,0,0,1,1
12277,150000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki phase 1,sale,0,0,0,0,0,1,0,0,0
12279,25000000.0,1.0,1.0,2.0,Furnished,Mini flat,Lekki phase 1,sale,0,1,0,1,0,0,0,1,1
12280,60000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12283,95000000.0,3.0,3.0,4.0,Newly Built,Terraced duplex,Lekki,sale,1,0,0,0,0,1,0,0,1
12284,40000000.0,4.0,4.0,5.0,Serviced,Terraced duplex,Lekki,sale,0,0,0,0,0,1,0,1,0
12285,15000000.0,3.0,5.0,5.0,Furnished,Detached bungalow,Lekki,sale,0,1,0,1,0,0,0,0,0
12286,155000000.0,4.0,4.0,5.0,Serviced,Flat / apartment,Lekki phase 1,sale,0,0,0,0,0,0,0,0,0
12287,23000000.0,2.0,2.0,3.0,Newly Built,Blocks of flats,Lekki,sale,0,0,0,0,0,0,0,0,0
12288,85000000.0,4.0,4.0,5.0,Serviced,Semi detached duplex,Lekki,sale,0,0,0,0,0,1,0,0,1
12289,51000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12290,105000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12291,25500000.0,3.0,4.0,4.0,Furnished,Blocks of flats,Ajah,sale,0,0,0,1,0,0,0,0,0
12294,53500000.0,4.0,5.0,5.0,Furnished,Semi detached duplex,Lekki phase 1,sale,1,1,1,1,0,1,0,0,0
12295,130000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,1,0,0,0
12296,35000000.0,2.0,2.0,3.0,Furnished,Terraced duplex,Lekki phase 1,sale,0,1,0,1,0,0,0,1,1
12297,80000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12298,38000000.0,4.0,5.0,5.0,Furnished,Terraced duplex,Lekki,sale,0,1,0,1,0,1,0,0,0
12299,55000000.0,4.0,4.0,5.0,Furnished,Terraced duplex,Lekki phase 1,sale,0,1,0,1,0,0,0,1,1
12300,55000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
